Station_ID,Station_Name,Station_Category,lat0,lon0,fE,fN,k0,h0,H0,Undulation,ppm_Max,ppm_Range,ppm_avg,ppm_StdDev
VA_2065,Felsberg-Gensungen,6,51.1323,9.4371,5000,10000,1.0000248,158.1,158.0,46.8,,,,
VA_2066,Genthin,4,52.4044,12.1585,5000,10000,1.0000050,32.1,34.4,41.0,,,,
VA_2067,Genthin A,-1,52.4174,12.1505,5000,10000,1.0000050,31.9,34.2,41.0,,,,
VA_2069,Genzien,-1,52.8865,11.5315,5000,10000,1.0000051,32.3,33.8,40.6,,,,
VA_2070,Koeln Airport-Businesspark,6,50.9113,7.0448,5000,10000,1.0000063,40.3,40.3,46.7,,,,
VA_2071,Georgensgmuend,4,49.1840,11.0173,5000,10000,1.0000553,352.9,357.1,46.7,,,,
VA_2073,Gera Hbf,3,50.8842,12.0785,5000,10000,1.0000298,190.2,191.8,45.6,-0.9,1.2,-0.1,0.3
VA_2074,Gera Ost,-1,50.8502,12.0945,5000,10000,1.0000317,202.3,203.8,45.7,,,,
VA_2075,Gera Sued,5,50.8722,12.0775,5000,10000,1.0000299,190.9,192.4,45.7,,,,
VA_2076,Gera-Gessental,-1,50.8582,12.1245,5000,10000,1.0000348,221.9,223.5,45.7,,,,
VA_2077,Gera-Langenberg,7,50.9182,12.0485,5000,10000,1.0000287,183.2,184.8,45.6,,,,
VA_2078,Gera-Liebschwitz,-1,50.8402,12.0825,5000,10000,1.0000320,204.1,205.7,45.7,,,,
VA_2079,Gera-Roeppisch,-1,50.8282,12.0775,5000,10000,1.0000328,209.5,211.0,45.8,,,,
VA_2081,Gera-Zwoetzen,6,50.8512,12.0835,5000,10000,1.0000311,198.2,199.7,45.7,,,,
VA_2082,Geraberg,6,50.7172,10.8583,5000,10000,1.0000735,468.9,469.8,46.8,,,,
VA_2083,Geradstetten,5,48.8060,9.4411,5000,10000,1.0000377,240.6,244.1,48.1,,,,
VA_2085,Gerhausen,7,48.4010,9.8071,5000,10000,1.0000814,519.2,523.8,47.9,,,,
VA_2086,Gerichshain,6,51.3553,12.5886,5000,10000,1.0000219,140.0,142.2,43.6,,,,
VA_2087,Geringswalde,-1,51.0742,12.9096,5000,10000,1.0000396,253.0,255.3,44.2,,,,
VA_2088,Gerlachsheim,6,49.5821,9.7121,5000,10000,1.0000293,186.8,188.6,48.3,,,,
VA_2089,Gerlenhofen,6,48.3520,10.0382,5000,10000,1.0000746,476.0,481.2,47.3,,,,
VA_2090,Koeln Steinstrasse,4,50.8973,7.0578,5000,10000,1.0000082,52.6,52.6,46.7,,,,
VA_2091,Germering-Unterpfaffenhofen,3,48.1299,11.3654,5000,10000,1.0000835,532.8,539.7,46.0,0.7,0.9,0.0,0.2
VA_2092,Germersheim,5,49.2261,8.3659,5000,10000,1.0000151,96.5,99.6,47.5,,,,
